OBJECTID,nom_rio,OBJECTID_2,nom_rio_2
60194,RIERA DE MAÇANES,60207,SIN NOMBRE
60194,RIERA DE MAÇANES,60208,SIN NOMBRE
60194,RIERA DE MAÇANES,60209,SIN NOMBRE
60202,RIERA DE L'ESPARRA,60203,SIN NOMBRE
60202,RIERA DE L'ESPARRA,60205,SIN NOMBRE
60203,SIN NOMBRE,60203,SIN NOMBRE
60203,SIN NOMBRE,60204,SIN NOMBRE
60204,SIN NOMBRE,60204,SIN NOMBRE
60205,SIN NOMBRE,60205,SIN NOMBRE
60207,SIN NOMBRE,60207,SIN NOMBRE
60208,SIN NOMBRE,60208,SIN NOMBRE
60209,SIN NOMBRE,60209,SIN NOMBRE
60209,SIN NOMBRE,60210,SIN NOMBRE
60210,SIN NOMBRE,60210,SIN NOMBRE
60210,SIN NOMBRE,60211,SIN NOMBRE
60211,SIN NOMBRE,60211,SIN NOMBRE
60211,SIN NOMBRE,60212,SIN NOMBRE
60212,SIN NOMBRE,60212,SIN NOMBRE
60213,TORRENT DE MOLLET,60209,SIN NOMBRE
60213,TORRENT DE MOLLET,60218,SIN NOMBRE
60213,TORRENT DE MOLLET,60219,SIN NOMBRE
60213,TORRENT DE MOLLET,60221,SIN NOMBRE
60218,SIN NOMBRE,60218,SIN NOMBRE
60219,SIN NOMBRE,60219,SIN NOMBRE
60219,SIN NOMBRE,60220,SIN NOMBRE
60219,SIN NOMBRE,60221,SIN NOMBRE
60220,SIN NOMBRE,60220,SIN NOMBRE
60221,SIN NOMBRE,60219,SIN NOMBRE
60221,SIN NOMBRE,60221,SIN NOMBRE
